"","1","2","3","4","5","6","7","8","9","10","11","12"
"0.07",4.70896527275635,3.90927764128432,3.65763519960987,3.5687160710106,3.58553430357357,3.59482202493096,3.6502346713841,3.74491800050935,3.87657810631789,4.04196703564887,4.1696537737213,4.33438664391687
"0.075",4.76977561456602,3.98358131213694,3.73974508777072,3.66042973971887,3.69366885702863,3.73578263254361,3.79678319487386,3.92507642652463,4.07502932379717,4.25304028417964,4.41589459095204,4.61079831331616
"0.08",4.85336132851281,4.06339333314403,3.8274231942583,3.7622302631524,3.80087983341033,3.86891559271456,3.96163832676972,4.1213619012878,4.29190360802548,4.47850146790181,4.67627549687614,4.88576339148236
"0.085",4.92569766213724,4.13116846056508,3.9180362309901,3.87208308225634,3.91834400505183,4.01637259525444,4.12297944540984,4.30788175103824,4.49250182950629,4.72812185614266,4.94428397756576,5.18092474071666
"0.09",4.98804647125104,4.20782250222403,4.01755926152055,3.98597318617211,4.05127589169053,4.1721415716656,4.29116655087954,4.4959754833697,4.71875848794593,4.96860735833071,5.22302297852957,5.4664540627469
"0.095",5.05125585536311,4.29081911485074,4.11697407298903,4.0909274607113,4.1860741969984,4.33553237902194,4.48152202902017,4.68889601163848,4.95518803091889,5.22972598854739,5.52647437038212,5.79476914585717
"0.1",5.1069979952863,4.37040488275535,4.22227116988694,4.20822385385815,4.32555110652532,4.48584076095697,4.6869517800595,4.90829037537557,5.19288492467927,5.49584669913249,5.79182129506399,6.0959852592116
"0.105",5.1653035090136,4.4540526547391,4.32370457652074,4.33367745741024,4.45843766889488,4.63731950605146,4.86980369657212,5.12066552409163,5.43271518338098,5.76404837662695,6.07785851336706,6.411490739334
"0.11",5.22561678973764,4.54094709540613,4.4250240136811,4.45006811898679,4.60308772550483,4.81274437098856,5.05543145732343,5.33746007871932,5.67245799269038,6.02108945327104,6.37400956282518,6.72095397353282
"0.115",5.28520541157664,4.61660710948269,4.5382130259585,4.56047262842172,4.761460107069,4.98882575165214,5.24616859655699,5.56292505975645,5.92953138624203,6.31412487462328,6.69295979644437,7.04617001710159
"0.12",5.35031772613203,4.70441722603708,4.64286442208942,4.68432550673356,4.8928577524795,5.15081754812135,5.45374773624082,5.80173851481337,6.18926013302923,6.59091023098358,6.99548186841242,7.37912935075003
"0.125",5.43157030179219,4.79598190529292,4.73675339959731,4.80892755808689,5.06529813991061,5.31903857483017,5.64566500633784,6.02760340595822,6.45964772032705,6.87104955590921,7.32831559294489,7.73513260082489
"0.13",5.49317331729673,4.89074910100378,4.84410969923621,4.94381972115536,5.21491854992965,5.49025473858052,5.83831664070714,6.27490113289265,6.72240316694098,7.1602159078108,7.63856568239043,8.09592481536991
"0.135",5.58362508321415,4.97463833713291,4.9462803968735,5.08437126512487,5.36005695386346,5.67370184371295,6.05495716887736,6.52478744552624,6.98577676695642,7.447323531713,7.97025047055629,8.4741949612466
"0.14",5.65954318941053,5.0746670568112,5.05656845871284,5.21594048479941,5.52846667482184,5.87272127081901,6.25612956781877,6.75603127044928,7.25313882938652,7.76124467481245,8.31437532843445,8.83751404889565
"0.145",5.71908961890483,5.16196717843652,5.16495869475278,5.35554266362334,5.70105132837816,6.05117197167988,6.47212618045939,6.97998461696319,7.52111720056965,8.06353970036092,8.61827109544606,9.15498385763753
"0.15",5.80835236511396,5.25567553515316,5.28479240930862,5.49400560517801,5.87022795003654,6.23483820076909,6.70087762753295,7.24436545838253,7.79286008414008,8.37249077191054,8.94833313939583,9.48170207639148
"0.155",5.881271236869,5.35336714177463,5.40283271786183,5.64469324918372,6.03750775839432,6.44124829199526,6.92376366605304,7.48105566312486,8.06174932570261,8.66899522390155,9.23580248785055,9.82154534525027
