"","1","2"
"0.72",24.0963011042502,24.9916991025718
"0.725",25.392958068142,26.9678511028179
"0.73",25.4752153013157,26.0741872718347
"0.735",25.1467561038713,25.6788898352825
"0.74",29.6560113780966,25.7060978194004
"0.745",29.6209308110158,27.2042315230448
"0.75",29.1870186655622,29.5034031631338
"0.755",28.4306249681894,29.5076186383268
"0.76",30.6737434903631,34.0457816922207
"0.765",30.4064614654933,35.1250192557439
"0.77",30.9826623846389,35.898050804249
"0.775",35.5417022014234,38.339104834135
"0.78",30.2527183570868,34.9905848012499
"0.785",27.8121055778264,34.8808537489591
"0.79",27.2884186391656,37.8779197213898
"0.795",29.7260841929959,33.0946182256277
"0.8",28.400684517378,30.1308726645475
"0.805",28.706835186308,29.6770295495282
"0.81",29.5308636948745,29.380177135483
"0.815",30.2545549979964,27.3420113989466
"0.82",26.9710611979421,25.3877960857688
"0.825",25.4700690753855,22.7265575164709
"0.83",25.5925549738384,22.9783390508637
"0.835",27.6372192932206,21.7237913630287
"0.84",28.5694264324955,22.3436063037077
"0.845",27.9057034504397,22.3999661283358
"0.85",29.2228541105467,21.6044062905075
"0.855",28.3884552405136,22.6470643139554
"0.86",28.0983046230466,23.6011872492189
"0.865",29.8835432367174,23.6530997643611
"0.87",27.9287077751198,23.1859990797089
"0.875",30.250432628692,23.2872664388097
"0.88",27.439609828344,22.423758851365
"0.885",25.9217184840134,20.681627999638
"0.89",27.119908318837,20.9637622652444
"0.895",30.0054031272607,20.6694341317461
"0.9",26.8101074784279,21.2484065865261
"0.905",26.4049578493308,20.8582430867558
"0.91",27.2347589682257,18.1833736811629
"0.915",25.6541861534341,18.1220189427574
"0.92",27.7544100166745,21.7822046945878
"0.925",29.4538322424376,23.0833191550278
"0.93",28.6533990621686,22.7485435169239
"0.935",30.347466454375,21.5374686067372
"0.94",34.0763551728307,25.4667968170143
"0.945",28.3512224158708,28.6150921342828
"0.95",27.6643869483245,19.2038673627481
"0.955",28.0516547170395,21.820176166885
"0.96",26.1198871388774,22.0083381441367
"0.965",26.7731736956244,20.1838519353016
"0.97",27.1892652797254,21.0856297021781
"0.975",27.3463046576266,18.4079136040705
"0.98",28.8340855627888,22.0736390196198
"0.985",29.1136849389865,22.0331645812956
"0.99",30.1979469567091,26.4157386397574
