"","1","2","3","4","5","6","7","8","9","10","11","12"
"0.095",6.69337892958745,7.51037855741931,9.77709636932992,13.020591590329,15.9102797888965,16.953243813152,17.3298740304395,18.1822195475263,18.1380294023438,18.7251449845824,18.8761703915737,19.6314468703006
"0.1",6.90348253614226,7.9627262710776,10.4445444107811,13.8737491548288,16.6948784389775,17.5665811520161,18.1347437608412,18.1811604243234,18.8049546571258,19.2911655136185,18.9451935081614,20.4402064653149
"0.105",7.15956837028308,8.31924713939342,11.0843186492513,14.5360670575093,17.0833908087117,17.7338441447205,18.1759592829681,18.4640053773226,18.9505285400062,19.8428095068435,20.2829096383315,21.5501780199929
"0.11",7.37172068074508,8.74966991659784,11.6013037075676,15.5321947503796,17.8158568125033,17.5002610050068,17.7182734739782,18.6522094646499,18.3890339836807,19.6755831376006,20.8644496192542,22.2806802055107
"0.115",7.59231372174831,9.0622062303336,12.4747018926981,16.192004083049,17.710322141891,17.9953862202207,18.6898847183468,18.6625825957377,19.8303978505162,20.790887576498,21.5630904343924,22.4831224044704
"0.12",7.77992250030532,9.63572479697619,13.0563908513461,16.8241888543817,17.938801491577,18.1334901686209,19.0299456268815,19.1890434678997,20.2783360772078,21.4338225331796,22.0558861723688,24.3017590476367
"0.125",8.07749038686147,10.0700812805137,13.6284592297832,16.9769039913151,18.1788546054663,18.4491820990114,19.7156484416543,19.0476701310989,21.3049108501102,22.4249641497251,22.9799247242082,25.1774721162817
"0.13",8.33113533319965,10.6215158514619,14.3653501112458,17.6726063203106,18.3215047469135,19.0460703375959,19.6323395087302,19.829073393213,21.2500896683597,23.4923620325585,24.4019341666557,25.9904297605154
"0.135",8.54726835104087,11.0957001325866,15.2043624983776,18.043930862474,18.5048738699604,19.4473773307135,19.8630735153433,20.7045740871649,21.7325549464108,23.2313622377884,25.4310400945892,27.3782829934621
"0.14",8.79877409584869,11.6442183645667,15.8691844289613,19.2363807434858,18.4335223029514,19.4537533381254,20.4375953732778,20.8848214854544,21.980510726652,23.6082507973208,26.3497401649949,27.0715694626337
"0.145",8.98260504154215,12.1157607429285,16.7153711571955,19.489328419983,18.9214057587348,19.241638129585,20.4584255015445,22.0218531522486,22.3931047807513,24.3562707698162,26.4793751289796,29.3485253265939
"0.15",9.24413317553731,12.4097737398153,16.7122584041232,19.3065390202867,19.003825276624,19.611922183576,21.0533460859448,23.3961385744485,23.8053631533157,26.1724516102329,28.5945867138204,30.0783469209812
