"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.105",12.894827169323,10.8768876470731,85.1680293089975,26.9690183719094,32.2257832509469,73.2660315508069,34.0651560849797,28.662297658053,59.6885759055074,60.3653215333339,253.130947332852,32.8287781245119
"b=0.11",20.2599667274105,14.9374233441018,23.9363931709857,115.48966883204,2083.42507615097,48.9086598091329,41.9968292981286,49.6050851390609,30.5337111142422,40.5851069603953,58.847210096804,122.782013406198
"b=0.115",19.1761063013719,18.6447190951233,216.367222093484,31.9871493179627,44.8618564847177,112.538243275602,114.186479478213,27.0668600133225,98.5888939611443,165.166742204985,145.133298214763,29.7177957222243
"b=0.12",16.768524103248,23.6556534208678,116.591769747848,37.245536476796,29.1646327395782,21.2384822153676,78.346474946756,90.1104953934694,87.7982299150296,79.3908644467956,28.049907093121,239.526629354386
"b=0.125",12.5491697148776,10.2627618848095,46.8774739765848,85.4870128165575,193.668286788764,45.5431417955321,39.3414011053698,35.4366431846669,85.6535048195881,32.4616416718809,653.012054903857,138.239288644143
"b=0.13",12.3395239416742,12.4519094781345,105.218427351829,93.6801425103499,256.28573496659,25.0348942606893,97.6805060367619,220.367212018817,87.973193311377,354.936204026328,101.339968782473,158.900995613225
"b=0.135",12.3023343231913,13.2476136551657,362.973976813644,99.5379860499646,15.1341860964693,28.5675931555319,52.2801421175249,76.850405020156,62.1497161911643,184.925810353932,37.1707570402659,47.7688442941439
"b=0.14",11.9966127263879,15.6557150808448,54.6197321295233,41.7635089978816,48.5459382035342,99.189658507508,76.1146144020612,71.4319535395078,22.158725574679,31.214540724782,89.8500667336527,105.886687400678
"b=0.145",11.6676530654246,11.1800008041377,15.7614354503633,28.1576749881508,27.7175531762604,152.884663913947,83.1099727712373,65.679286380951,129.33451729177,60.4345967531991,122.766347421602,290.027723362703
"b=0.15",11.4721628794338,11.2536828073146,22.1459190336262,35.8194371179762,46.4497463044032,64.8789528911547,54.6265792939123,45.6565081221284,364.418189120895,1956.83111440265,97.0540662032827,134.523080424408
"b=0.155",11.5343031384693,28.9055380049017,140.952428357366,138.235531520956,46.7169689196536,48.7148232354069,87.6787229891641,122.358907620794,286.679738158133,67.6607700349124,31.0956271141763,439.677801028372
"b=0.16",11.8862345973556,35.0825703315218,109.639669724685,97.2436003302692,47.7953082341253,42.9231238929397,252.704379435598,66.9822141096729,158.011669505107,119.560357933503,152.522460446681,56.0886834746482
"b=0.165",16.3620887074285,24.1582939651444,51.4865173569318,18.7353332522405,51.5702822648837,67.8039762192915,45.2438078838616,95.5285342450359,258.789829275782,297.465097315938,305.944715549052,51.9671384212838
"b=0.17",12.8864269272812,61.2882915766871,31.1995109868153,23.440500332885,61.837532108401,63.2353163678345,77.5118220392746,132.74643661385,110.576896480891,189.863962614896,60.8003287221195,37.4465437527176
"b=0.175",14.668540527951,147.835141491036,112.481848444871,36.0089332987164,55.0805348565773,67.1158794092864,198.935908096449,120.669909449582,45.3382233007044,107.294794317397,138.689770108731,175.286698975948
"b=0.18",47.4120065574077,109.520173419934,166.360956646087,141.273410012493,67.2376965746543,131.512235927409,34.4234446527362,42.2069923974856,94.4510831416459,663.926028421831,177.216170273892,60.1055252292881
"b=0.185",32.9516165967497,42.7955792647471,196.011118532092,25.5529103276829,66.4698598634444,96.7452923366943,85.3486500954991,86.1584547557297,39.6323969860554,18.7863637507763,49.5622650953816,91.984312480796
"b=0.19",21.3529314960161,29.3087835434263,171.345852742407,120.349003630652,34.8117312283284,117.282610365436,67.3366006094446,94.3453813653505,123.298563907022,56.5494799181661,62.6797537406899,309.205664621073
"b=0.195",17.1837188699311,17.7208687183518,107.698274694312,195.646525906269,93.0048329099198,58.6989236281295,750.775623685697,101.960608231427,74.1007640379801,153.753587703178,105.200182862209,84.4925126316919
"b=0.2",15.7464273160508,28.6448062219714,60.3660491930798,758.634091806234,47.6673055919531,88.5237595464122,57.8007531351121,179.423590266028,51.197280434645,234.459365062057,77.5940228418839,140.366948098549
