"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.2",8.51268642454559,6.32169958454465,6.94102869204847,6.12383615035216,7.17883675327161,7.23015527692556,9.26446425025095,9.8422518625987,11.1901486683716,11.2633413428185,11.9608897992458,12.8831389239267
"b=0.205",8.6286306553196,6.35535834306158,7.20525961012174,6.19546756060415,7.34495997571649,7.09435858219326,9.74738916494146,10.2232357056734,11.3631446840462,11.2717111666974,11.9783379436418,13.2935946985789
"b=0.21",8.82983780648198,6.47485731210907,7.48270649642012,6.45415192341146,7.44302245188234,7.15837060928783,10.1705709699292,10.6120004468722,11.6468709650006,11.8332725393326,12.490344738829,13.7550989330502
"b=0.215",8.88338787599657,6.61140148497548,7.83470524819273,6.92781776568032,7.55844167598045,7.35039566081485,10.3912304102438,10.851290776906,11.9629420927323,12.5120428675148,13.0343929498484,13.9777885671946
"b=0.22",8.90893040587921,6.98381011520006,8.32622072519463,7.46945860220422,7.8961197180277,7.59420222389621,10.5821750435019,10.9265563141383,12.5471219417678,12.8292964980314,13.2141446752394,14.054222908299
"b=0.225",9.00055473963275,7.39511502018505,8.82326834940658,7.90818696073255,8.13133501774969,7.88358920764824,10.8711288941001,11.0417226411003,13.0728537474191,12.8569475883338,13.2460763121876,14.340624297284
"b=0.23",9.06619349240131,7.36137033620372,9.27945600761691,8.22460999505696,8.35876558795204,8.17803575441141,11.0495021426693,11.3463427497835,13.8632170862293,12.809960695114,13.7449303773193,14.9444019613255
"b=0.235",9.16964387203847,7.2949767655375,9.69319286942273,8.47605677908146,8.68173979741773,8.56513202899621,11.3462672929609,11.6182205665829,14.2400355717927,13.3634993907838,14.2833291699221,15.2827435645352
"b=0.24",9.35217143719473,7.24764658367971,10.0618356967086,8.57176353965523,9.01711962244981,8.94917274516254,11.6583683629862,12.2445671485264,14.1407700282186,13.7691698464372,14.3116674745859,15.3774478007635
"b=0.245",9.45871810058686,7.21960679503009,10.3257975703324,8.47107206760061,9.38678702579678,9.10354818441387,11.7139681305278,12.7305070675633,14.3359339212955,14.3400066350113,14.6547746563067,17.1954790747083
"b=0.25",9.51093249074505,7.18776921702755,10.5891686019287,8.51599205137847,9.59976157098011,9.1974919577968,11.8243626014745,13.1112714914706,15.0190848974169,14.7707638521292,15.4356900461344,16.9408220213759
"b=0.255",9.54077199325294,7.17310189192672,10.9389119872821,8.72419984592067,9.5713288219122,9.20619433933698,12.0723990770458,13.1864559536597,15.8355428777433,15.11778928102,15.0234689003531,17.6654526319083
"b=0.26",9.57393680897981,7.18796854871081,11.3454768666931,8.97344923073179,9.68277121178479,9.32147597474397,12.1634054793687,13.4344303131467,15.6364535297008,15.3368055863787,15.5653886850756,17.0140260429348
"b=0.265",9.62617402542772,7.33911688377956,11.7216426497488,9.22244867043909,9.85389441880189,9.61427147989405,12.5031248067085,13.4125182333536,16.2986534001724,16.3070674884003,16.4997407629495,17.4774358952533
"b=0.27",9.70272603161752,7.51219157866403,12.0416792547285,9.45196767457554,9.87411678201118,10.0882919334364,12.9843606297283,13.7168205144092,16.5348038605942,16.3939501895974,17.8925601895606,17.0533449735142
"b=0.275",9.78383274850777,7.74255171099717,11.8802699668414,10.0952584833248,10.0167935872977,10.4190782988956,13.0654130103159,13.8741528350623,16.4446606799686,16.4190439876373,17.7602783641517,17.2627659203061
"b=0.28",9.84723326985864,7.98227746860621,11.5690707949541,10.5228976332271,10.3429652608843,10.7366695057036,13.1024271905549,14.376633397544,16.2048478970053,16.4853667500864,17.7246281208369,17.3371763652565
"b=0.285",9.86791794066533,8.29814404293048,11.2461967485966,10.5439599122457,10.7017233080677,11.2244728227397,13.4162563616742,14.9648142059977,16.2488637853871,16.523045227786,17.3359962223357,18.2806041092686
"b=0.29",9.92134812203845,8.33585174553418,11.0257777459759,10.5612372017127,11.3054707614063,11.8473292048184,13.4590912261166,15.752939022362,16.5505966322309,16.5919747876948,17.9027807360194,19.0778514990481
